date,period,value
2020-04-30,2020-03-31,595387480.36
2020-08-11,2020-06-30,902266500.66
2020-10-24,2020-09-30,1333900451.48
2021-03-18,2020-12-31,1922871275.55
2021-04-13,2021-03-31,1118533428.03
2021-08-12,2021-06-30,1089194910.21
2021-10-14,2021-09-30,1750799344.82
2022-04-29,2021-12-31,2528840604.29
2022-04-29,2022-03-31,1532321548.19
2022-08-19,2022-06-30,2663233991.81
2022-10-28,2022-09-30,4004841970.81
2023-04-25,2022-12-31,6194426670.44
2023-04-25,2023-03-31,1109200245.49
2023-08-30,2023-06-30,2488145376.45
2023-10-27,2023-09-30,3443386189.65
2024-04-29,2023-12-31,3917542977.13
2024-04-29,2024-03-31,611833013.29
2024-08-30,2024-06-30,894216520.96
2024-10-31,2024-09-30,1334472825.56
2025-04-29,2024-12-31,2033487821.0
2025-04-29,2025-03-31,361616642.03
2025-08-22,2025-06-30,780528317.13
2025-10-24,2025-09-30,1256446401.66
