date,period,value
2020-04-29,2020-03-31,38155000.0
2020-08-07,2020-06-30,45905080.0
2020-10-29,2020-09-30,51141064.4
2021-04-27,2020-12-31,62712774.59
2021-04-27,2021-03-31,62712774.59
2021-08-16,2021-06-30,62712774.59
2021-10-30,2021-09-30,62712774.59
2022-03-30,2021-12-31,52737984.77
2022-04-28,2022-03-31,43713174.59
2022-08-10,2022-06-30,43713174.59
2022-10-26,2022-09-30,38424622.75
2023-03-31,2022-12-31,38263979.03
2023-04-27,2023-03-31,38263979.03
2023-08-05,2023-06-30,38263979.03
2023-10-28,2023-09-30,38263979.03
2024-03-30,2023-12-31,32224591.71
2024-04-24,2024-03-31,32224591.71
2024-08-29,2024-06-30,32224591.71
2024-10-30,2024-09-30,32224591.71
2025-03-29,2024-12-31,21902249.57
2025-04-29,2025-03-31,21902249.57
2025-08-18,2025-06-30,21902249.57
2025-10-28,2025-09-30,22505330.56
