date,period,value
2020-04-25,2020-03-31,352400903.68
2020-08-26,2020-06-30,437034937.45
2020-10-28,2020-09-30,154791972.78
2021-04-23,2020-12-31,-363151536.81
2021-04-23,2021-03-31,82584838.59
2021-08-27,2021-06-30,588036833.65
2021-10-28,2021-09-30,292249580.14
2022-04-27,2021-12-31,901638951.7
2022-04-27,2022-03-31,1075708131.36
2022-08-19,2022-06-30,1664393042.69
2022-10-28,2022-09-30,1575123974.43
2023-04-27,2022-12-31,922984691.26
2023-04-27,2023-03-31,464679083.64
2023-08-24,2023-06-30,898994040.83
2023-10-28,2023-09-30,1420515442.5
2024-04-27,2023-12-31,145965882.58
2024-04-27,2024-03-31,118720425.69
2024-08-29,2024-06-30,446613437.4
2024-10-29,2024-09-30,405085907.7
2025-04-25,2024-12-31,-840744530.16
2025-04-25,2025-03-31,-52371779.72
2025-08-20,2025-06-30,74209713.81
2025-10-29,2025-09-30,480967625.32
