date,period,value
2020-04-30,2020-03-31,-2856319974.54
2020-08-28,2020-06-30,-2873088055.09
2020-10-29,2020-09-30,-2874337568.05
2021-04-29,2020-12-31,-2877554972.72
2021-04-29,2021-03-31,-2924790778.62
2021-08-31,2021-06-30,-2926664928.78
2021-10-29,2021-09-30,-2936628603.22
2022-04-29,2021-12-31,-3248986489.65
2022-04-29,2022-03-31,-3247792931.12
2022-08-26,2022-06-30,-3198607592.62
2022-10-28,2022-09-30,-3136763516.86
2023-04-14,2022-12-31,-3093364530.68
2023-04-28,2023-03-31,-3071790285.37
2023-08-12,2023-06-30,-3036359973.95
2023-10-27,2023-09-30,-3060348396.0
2024-04-18,2023-12-31,-3062012834.15
2024-04-26,2024-03-31,-3037607875.12
2024-08-23,2024-06-30,-3001868321.65
2024-10-26,2024-09-30,-3009218430.32
2025-04-29,2024-12-31,-2963105462.22
2025-04-29,2025-03-31,-2937453591.07
2025-08-26,2025-06-30,-2955674409.06
2025-10-27,2025-09-30,-3001573674.46
