date,period,value
2020-04-29,2020-03-31,824557352.49
2020-08-27,2020-06-30,126348960.47
2020-10-29,2020-09-30,80982783.29
2021-04-21,2020-12-31,-406679611.44
2021-04-29,2021-03-31,371169257.23
2021-08-31,2021-06-30,711556272.41
2021-10-30,2021-09-30,125301593.04
2022-04-30,2021-12-31,129925449.63
2022-04-30,2022-03-31,-398598383.94
2022-08-30,2022-06-30,-326243341.58
2022-10-25,2022-09-30,-459699393.3
2023-04-28,2022-12-31,-510384323.19
2023-04-28,2023-03-31,10757481.34
2023-08-31,2023-06-30,-81933207.6
2023-10-31,2023-09-30,245864478.4
2024-04-30,2023-12-31,372071100.48
2024-04-30,2024-03-31,41882370.09
2024-08-28,2024-06-30,26600824.32
2024-10-28,2024-09-30,767465453.11
2025-03-28,2024-12-31,503484761.67
2025-04-22,2025-03-31,-31393767.15
2025-08-15,2025-06-30,-66643376.39
2025-10-28,2025-09-30,-102779233.42
