date,period,value
2020-04-30,2020-03-31,366910439.59
2020-08-26,2020-06-30,357054621.55
2020-10-31,2020-09-30,383501113.89
2021-04-29,2020-12-31,385741006.13
2021-04-30,2021-03-31,322299785.68
2021-08-20,2021-06-30,188140698.45
2021-10-30,2021-09-30,281863235.75
2022-04-15,2021-12-31,185633659.8
2022-04-30,2022-03-31,95009452.51
2022-08-22,2022-06-30,158625649.38
2022-10-28,2022-09-30,126073707.08
2023-04-18,2022-12-31,253133625.34
2023-04-28,2023-03-31,205667700.25
2023-08-31,2023-06-30,219123312.36
2023-10-31,2023-09-30,191042723.04
2024-04-10,2023-12-31,358938002.41
2024-04-30,2024-03-31,322924935.85
2024-08-31,2024-06-30,311276816.7
2024-10-21,2024-09-30,442349458.43
2025-04-19,2024-12-31,589752447.46
2025-04-25,2025-03-31,769589524.74
2025-08-20,2025-06-30,1035047289.89
2025-10-24,2025-09-30,1278998432.99
