date,period,value
2020-04-29,2020-03-31,29672375.9
2020-08-28,2020-06-30,25244556.42
2020-10-31,2020-09-30,-44476964.62
2021-04-27,2020-12-31,-112964621.54
2021-04-27,2021-03-31,5533500.12
2021-08-31,2021-06-30,-22319101.16
2021-10-29,2021-09-30,-24243952.5
2022-04-30,2021-12-31,-55184424.04
2022-04-30,2022-03-31,-14121175.84
2022-08-31,2022-06-30,66397993.67
2022-10-27,2022-09-30,152809285.39
2023-04-29,2022-12-31,136515813.72
2023-04-29,2023-03-31,-32934032.53
2023-08-29,2023-06-30,60777009.98
2023-10-31,2023-09-30,47970317.1
2024-04-30,2023-12-31,27242583.39
2024-04-30,2024-03-31,-1624093.1
2024-08-20,2024-06-30,8038020.66
2024-10-31,2024-09-30,-14114316.46
2025-04-29,2024-12-31,33548536.5
2025-04-29,2025-03-31,-5940423.09
2025-08-26,2025-06-30,-20440970.38
2025-10-28,2025-09-30,-20657951.98
