date,period,value
2020-04-29,2020-03-31,2000439183.32
2020-08-28,2020-06-30,2164303393.47
2020-10-31,2020-09-30,2108614691.98
2021-04-27,2020-12-31,2253550232.03
2021-04-27,2021-03-31,2441857048.08
2021-08-31,2021-06-30,2327276430.62
2021-10-29,2021-09-30,2341460898.06
2022-04-30,2021-12-31,2467483706.71
2022-04-30,2022-03-31,2234840468.24
2022-08-31,2022-06-30,2120639281.27
2022-10-27,2022-09-30,2023785514.68
2023-04-29,2022-12-31,2205526320.98
2023-04-29,2023-03-31,1865793947.49
2023-08-29,2023-06-30,1820966523.24
2023-10-31,2023-09-30,1598262187.66
2024-04-30,2023-12-31,1657208201.13
2024-04-30,2024-03-31,1440782352.79
2024-08-20,2024-06-30,1287807079.73
2024-10-31,2024-09-30,1363372908.0
2025-04-29,2024-12-31,1356053834.73
2025-04-29,2025-03-31,1244719472.1
2025-08-26,2025-06-30,1178738681.43
2025-10-28,2025-09-30,1249464194.12
