date,period,value
2020-04-29,2020-03-31,636075630.51
2020-08-14,2020-06-30,1435123766.63
2020-10-24,2020-09-30,2440654595.08
2021-04-29,2020-12-31,2267694412.52
2021-04-29,2021-03-31,803529970.78
2021-08-13,2021-06-30,1674412733.49
2021-10-15,2021-09-30,2724738671.25
2022-04-23,2021-12-31,2966539406.55
2022-04-23,2022-03-31,1310007777.15
2022-08-26,2022-06-30,2494245116.15
2022-10-29,2022-09-30,3095578703.38
2023-04-26,2022-12-31,4703668494.43
2023-04-26,2023-03-31,1006494755.95
2023-08-31,2023-06-30,1664322267.62
2023-10-28,2023-09-30,2056003266.11
2024-04-26,2023-12-31,3018251669.94
2024-04-26,2024-03-31,623291975.68
2024-08-29,2024-06-30,1214681115.06
2024-10-31,2024-09-30,1704245060.97
2025-04-28,2024-12-31,2753187904.48
2025-04-28,2025-03-31,765932581.42
2025-08-28,2025-06-30,1507857972.15
2025-10-29,2025-09-30,2276109591.54
