date,period,value
2020-04-25,2020-03-31,7384170.97
2020-08-28,2020-06-30,7496058.25
2020-10-29,2020-09-30,7415912.33
2021-04-28,2020-12-31,8753598.02
2021-04-28,2021-03-31,8175724.34
2021-08-25,2021-06-30,7862236.65
2021-10-28,2021-09-30,7617014.22
2022-04-21,2021-12-31,8312258.28
2022-04-27,2022-03-31,7612008.48
2022-08-26,2022-06-30,7394207.37
2022-10-27,2022-09-30,7020854.65
2023-04-26,2022-12-31,8485055.97
2023-04-26,2023-03-31,8426751.72
2023-08-24,2023-06-30,8536952.22
2023-10-26,2023-09-30,8024788.48
2024-04-25,2023-12-31,9527525.51
2024-04-25,2024-03-31,9283537.43
2024-08-27,2024-06-30,9082894.25
2024-10-26,2024-09-30,9258606.82
2025-04-24,2024-12-31,9997151.54
2025-04-24,2025-03-31,10236137.11
2025-08-27,2025-06-30,9882790.96
2025-10-28,2025-09-30,9788995.49
