date,period,value
2020-04-25,2020-03-31,69100409.54
2020-08-28,2020-06-30,199377431.06
2020-10-29,2020-09-30,249789887.48
2021-04-28,2020-12-31,139087625.36
2021-04-28,2021-03-31,51885607.41
2021-08-25,2021-06-30,126523278.83
2021-10-28,2021-09-30,108352200.35
2022-04-21,2021-12-31,74704280.0
2022-04-27,2022-03-31,109704280.0
2022-08-26,2022-06-30,137304280.0
2022-10-27,2022-09-30,122480000.0
2023-04-26,2022-12-31,81664280.0
2023-04-26,2023-03-31,101784280.0
2023-08-24,2023-06-30,209164280.0
2023-10-26,2023-09-30,213528998.0
2024-04-25,2023-12-31,226199498.0
2024-04-25,2024-03-31,191009780.0
2024-08-27,2024-06-30,100422280.0
2024-10-26,2024-09-30,37698295.3
2025-04-24,2024-12-31,22324015.3
2025-04-24,2025-03-31,33966410.0
2025-08-27,2025-06-30,76836410.0
2025-10-28,2025-09-30,88255000.0
