date,period,value
2020-04-30,2020-03-31,0.034
2020-08-28,2020-06-30,0.0534
2020-10-29,2020-09-30,0.1351
2021-04-10,2020-12-31,0.6373
2021-04-30,2021-03-31,0.034
2021-08-31,2021-06-30,0.0487
2021-10-29,2021-09-30,0.1485
2022-04-15,2021-12-31,0.6436
2022-04-29,2022-03-31,0.0323
2022-08-31,2022-06-30,0.0636
2022-10-28,2022-09-30,0.2026
2023-04-07,2022-12-31,0.6504
2023-04-28,2023-03-31,0.0463
2023-08-31,2023-06-30,0.0839
2023-10-28,2023-09-30,0.216
2024-04-18,2023-12-31,0.611
2024-04-30,2024-03-31,0.0262
2024-08-31,2024-06-30,-0.2549
2024-10-31,2024-09-30,-0.0454
2025-04-02,2024-12-31,0.3066
2025-04-30,2025-03-31,0.0261
2025-08-29,2025-06-30,0.0155
2025-10-30,2025-09-30,0.0065
