date,period,value
2020-04-27,2020-03-31,59431680.0
2020-08-20,2020-06-30,155846661.25
2020-10-28,2020-09-30,51503200.0
2021-03-31,2020-12-31,51503200.0
2021-04-24,2021-03-31,45001600.0
2021-08-11,2021-06-30,30960160.0
2021-10-26,2021-09-30,30960160.0
2022-03-30,2021-12-31,30960160.0
2022-04-27,2022-03-31,21857920.0
2022-08-18,2022-06-30,13261360.0
2022-10-27,2022-09-30,13261360.0
2024-04-18,2023-12-31,12642000.0
2024-08-27,2024-06-30,22050000.0
2025-04-19,2024-12-31,5959800.0
2025-08-22,2025-06-30,2230000.0
2025-10-23,2025-09-30,1480000.0
