date,period,value
2020-04-27,2020-03-31,36856188.44
2020-08-20,2020-06-30,36755278.48
2020-10-28,2020-09-30,912863.2
2021-03-31,2020-12-31,202000000.0
2021-04-24,2021-03-31,400000000.0
2021-08-11,2021-06-30,408300000.0
2021-10-26,2021-09-30,408300000.0
2022-03-30,2021-12-31,108300000.0
2022-04-27,2022-03-31,8300000.0
2022-08-18,2022-06-30,208000000.0
2022-10-27,2022-09-30,208000000.0
2023-04-20,2022-12-31,200000000.0
2023-04-20,2023-03-31,300000000.0
2023-08-23,2023-06-30,100000000.0
2023-10-26,2023-09-30,95000000.0
2024-04-18,2023-12-31,70000000.0
