date,period,value
2022-08-26,2022-06-30,99999192.09
2022-10-28,2022-09-30,105532750.31
2023-03-30,2022-12-31,216663067.11
2023-04-29,2023-03-31,216663067.11
2023-08-25,2023-06-30,216663067.11
2023-10-30,2023-09-30,216663067.11
2024-03-30,2023-12-31,175513390.57
2024-04-29,2024-03-31,175513390.57
2024-08-28,2024-06-30,175513390.57
2024-10-31,2024-09-30,175513390.57
2025-03-29,2024-12-31,138990920.17
2025-04-29,2025-03-31,138990920.17
2025-08-22,2025-06-30,105162688.94
2025-10-25,2025-09-30,105162688.94
