date,period,value
2020-04-30,2020-03-31,982593237.44
2020-08-31,2020-06-30,840133389.2
2020-10-26,2020-09-30,984252524.83
2021-04-29,2020-12-31,743711883.78
2021-04-30,2021-03-31,754316846.02
2021-08-31,2021-06-30,708135129.33
2021-10-28,2021-09-30,862454886.0
2022-04-29,2021-12-31,409804577.5
2022-04-29,2022-03-31,810839123.75
2022-08-29,2022-06-30,620681362.74
2022-10-28,2022-09-30,597954080.1
2023-04-28,2022-12-31,276426840.64
2023-04-28,2023-03-31,344341605.85
2023-08-30,2023-06-30,366956193.34
2023-10-31,2023-09-30,237251306.25
2024-04-27,2023-12-31,267368888.98
2024-04-27,2024-03-31,365015802.86
2024-08-31,2024-06-30,261204882.19
2024-10-31,2024-09-30,290989294.44
2025-04-10,2024-12-31,193731662.34
2025-04-30,2025-03-31,197003539.08
2025-08-23,2025-06-30,227665615.57
2025-10-30,2025-09-30,266579629.72
2026-04-10,2025-12-31,225268757.21
