date,period,value
2020-04-29,2020-03-31,10428448.15
2020-08-26,2020-06-30,149002780.71
2020-10-20,2020-09-30,167554602.65
2021-04-20,2020-12-31,187819026.96
2021-04-27,2021-03-31,14824941.11
2021-08-20,2021-06-30,621374718.33
2021-10-27,2021-09-30,636599595.81
2022-04-20,2021-12-31,657018826.88
2022-04-27,2022-03-31,53686703.56
2022-08-20,2022-06-30,68075498.47
2022-10-25,2022-09-30,82085111.07
2023-04-25,2022-12-31,95756482.6
2023-04-29,2023-03-31,33223725.54
2023-08-23,2023-06-30,27508872.78
2023-10-28,2023-09-30,39691308.9
2024-04-25,2023-12-31,54395568.16
2024-04-30,2024-03-31,22773859.2
2024-08-23,2024-06-30,429868700.73
2024-10-26,2024-09-30,447649559.51
2025-04-23,2024-12-31,465989730.9
2025-04-29,2025-03-31,13382740.06
2025-08-22,2025-06-30,157701863.55
2025-10-25,2025-09-30,164397475.14
