date,period,value
2020-04-30,2020-03-31,2082506.12
2020-08-28,2020-06-30,1604252.78
2020-10-29,2020-09-30,2596686.45
2021-03-03,2020-12-31,892182.76
2021-04-27,2021-03-31,2184732.6
2021-07-23,2021-06-30,67083.15
2021-10-27,2021-09-30,-2771793.0
2022-02-26,2021-12-31,-24488.47
2022-04-15,2022-03-31,1418618.75
2022-08-27,2022-06-30,1774376.18
2022-10-28,2022-09-30,-3116515.93
2023-04-18,2022-12-31,-6731489.28
2023-04-18,2023-03-31,3197851.56
2023-08-30,2023-06-30,-2297329.72
2023-10-14,2023-09-30,-4668300.16
2024-03-07,2023-12-31,-12653230.64
2024-04-18,2024-03-31,1099895.33
2024-08-02,2024-06-30,-2942657.92
2024-10-31,2024-09-30,-2765522.86
2025-03-28,2024-12-31,-16608999.29
2025-04-29,2025-03-31,-330323.51
2025-08-01,2025-06-30,9646683.82
2025-10-28,2025-09-30,9484709.23
2026-03-26,2025-12-31,-778784.03
