date,period,value
2020-04-30,2020-03-31,5000000.0
2020-08-28,2020-06-30,5000000.0
2020-10-31,2020-09-30,5000000.0
2021-04-29,2020-12-31,5000000.0
2021-04-29,2021-03-31,2000000.0
2021-08-30,2021-06-30,2000000.0
2021-10-29,2021-09-30,2000000.0
2023-10-31,2023-09-30,28640292.99
2024-04-25,2023-12-31,21184237.21
2024-04-25,2024-03-31,19708342.04
2024-08-31,2024-06-30,18236965.06
2024-10-31,2024-09-30,16770129.62
2025-04-25,2024-12-31,15307855.43
2025-04-25,2025-03-31,13850166.38
2025-08-29,2025-06-30,12927806.51
2025-10-28,2025-09-30,10948628.05
