date,period,value
2020-04-30,2020-03-31,-18346458.75
2020-08-28,2020-06-30,141417769.47
2020-10-30,2020-09-30,206171000.21
2021-04-26,2020-12-31,324102488.57
2021-04-29,2021-03-31,68942707.12
2021-08-30,2021-06-30,330719390.24
2021-10-26,2021-09-30,678451097.01
2022-04-23,2021-12-31,1084668242.9
2022-04-23,2022-03-31,1328784274.27
2022-08-30,2022-06-30,2398244683.8
2022-10-27,2022-09-30,3730349331.92
2023-04-28,2022-12-31,4660189166.74
2023-04-28,2023-03-31,543659951.5
2023-08-25,2023-06-30,921141726.03
2023-10-27,2023-09-30,632472250.09
2024-04-26,2023-12-31,-154305815.96
2024-04-30,2024-03-31,16202837.5
2024-08-30,2024-06-30,3350686.46
2024-10-31,2024-09-30,70713266.79
2025-04-29,2024-12-31,172486543.18
2025-04-29,2025-03-31,95697370.56
2025-08-20,2025-06-30,183572275.56
2025-10-30,2025-09-30,371955980.65
