date,period,value
2020-04-25,2020-03-31,881203933.82
2020-08-29,2020-06-30,1090382085.66
2020-10-31,2020-09-30,828611197.14
2021-04-30,2020-12-31,483467597.56
2021-04-30,2021-03-31,411790898.19
2021-08-28,2021-06-30,260971816.02
2021-10-30,2021-09-30,251431401.88
2022-04-30,2021-12-31,283759055.01
2022-04-30,2022-03-31,247873771.88
2022-08-30,2022-06-30,187546904.52
2022-10-29,2022-09-30,186507457.28
2023-04-27,2022-12-31,298474862.1
2023-04-27,2023-03-31,461135217.3
2023-08-16,2023-06-30,386949850.73
2023-10-28,2023-09-30,596623107.39
2024-04-27,2023-12-31,601971110.09
2024-04-27,2024-03-31,671769199.53
2024-08-31,2024-06-30,798982936.58
2024-10-31,2024-09-30,811077003.7
2025-04-29,2024-12-31,1010308158.3
2025-04-29,2025-03-31,895895634.41
2025-08-27,2025-06-30,916781805.25
2025-10-31,2025-09-30,854125221.89
