date,period,value
2020-04-30,2020-03-31,33426051.93
2020-08-07,2020-06-30,40446866.9
2020-10-30,2020-09-30,45439244.79
2021-04-29,2020-12-31,80056125.89
2021-04-29,2021-03-31,224755027.3
2021-08-31,2021-06-30,554697666.71
2021-10-28,2021-09-30,654187119.81
2022-04-28,2021-12-31,682429516.95
2022-04-28,2022-03-31,8894699.62
2022-08-31,2022-06-30,63238785.5
2022-10-26,2022-09-30,71126989.51
2023-04-20,2022-12-31,16082248.77
2023-04-20,2023-03-31,2526086.99
2023-08-28,2023-06-30,5805962.59
2023-10-26,2023-09-30,23523983.72
2024-04-25,2023-12-31,25616574.51
2024-04-25,2024-03-31,13174598.25
2024-08-28,2024-06-30,71719088.9
2024-10-29,2024-09-30,118153220.65
2025-04-25,2024-12-31,138017559.19
2025-04-25,2025-03-31,2933473.09
2025-08-20,2025-06-30,112093571.87
2025-10-28,2025-09-30,224366097.21
