date,period,value
2020-08-19,2020-06-30,1273101.92
2020-10-27,2020-09-30,398445.61
2021-03-31,2020-12-31,3521695.33
2021-04-27,2021-03-31,3293185.72
2021-08-27,2021-06-30,6235133.29
2021-10-25,2021-09-30,12866590.75
2022-04-26,2021-12-31,10868182.24
2022-04-26,2022-03-31,3272639.98
2022-08-13,2022-06-30,5832711.36
2022-10-22,2022-09-30,6164560.77
2023-04-11,2022-12-31,551380.07
2023-04-25,2023-03-31,649792.23
2023-08-29,2023-06-30,-2189400.0
2023-10-31,2023-09-30,-314638.34
2024-04-16,2023-12-31,50000.0
2024-08-29,2024-06-30,427770.16
2024-10-30,2024-09-30,544143.12
2025-04-25,2024-12-31,913248.76
2025-04-25,2025-03-31,228893.66
2025-08-28,2025-06-30,217272.16
2025-10-27,2025-09-30,466804.98
