date,period,value
2020-04-24,2020-03-31,341400000.0
2020-08-28,2020-06-30,486800000.0
2020-10-28,2020-09-30,415000000.0
2021-04-21,2020-12-31,670100000.0
2021-04-21,2021-03-31,608000000.0
2021-08-27,2021-06-30,671700000.0
2021-10-28,2021-09-30,651600000.0
2022-04-22,2021-12-31,679399886.9
2022-04-22,2022-03-31,716410000.0
2022-08-29,2022-06-30,642400000.0
2022-10-28,2022-09-30,544300000.0
2023-04-28,2022-12-31,533500000.0
2023-04-28,2023-03-31,548380000.0
2023-08-28,2023-06-30,522610000.0
2023-10-26,2023-09-30,388150000.0
2024-04-12,2023-12-31,224062097.22
2024-04-12,2024-03-31,243900000.0
2024-07-26,2024-06-30,9690000.0
2025-03-20,2024-12-31,34359444.56
2025-04-18,2025-03-31,62075438.19
2025-07-23,2025-06-30,149708475.96
2025-10-22,2025-09-30,120070250.88
2026-03-20,2025-12-31,122748017.02
