date,period,value
2020-04-28,2020-03-31,-9381942.26
2020-07-31,2020-06-30,-17729533.25
2020-10-23,2020-09-30,-17111902.97
2021-03-31,2020-12-31,-16365750.05
2021-04-29,2021-03-31,-4834927.01
2021-08-26,2021-06-30,-501205.79
2021-10-28,2021-09-30,-2458799.36
2022-03-31,2021-12-31,-12628411.01
2022-04-28,2022-03-31,-7493460.51
2022-08-25,2022-06-30,-29536007.21
2022-10-28,2022-09-30,-40698354.08
2023-03-31,2022-12-31,-43244383.54
2023-04-28,2023-03-31,-8495315.95
2023-08-25,2023-06-30,-14612590.42
2023-10-26,2023-09-30,-19783494.96
2024-03-30,2023-12-31,-25424489.38
2024-04-27,2024-03-31,-3164346.96
2024-08-29,2024-06-30,-9594469.11
2024-10-30,2024-09-30,-17650549.18
2025-04-18,2024-12-31,-20115881.45
2025-04-30,2025-03-31,-6544665.07
2025-08-22,2025-06-30,-17991620.78
2025-10-27,2025-09-30,-23155650.78
