date,period,value
2020-04-29,2020-03-31,273681191.62
2021-04-28,2020-12-31,7067245.31
2021-04-28,2021-03-31,11760954.85
2021-08-26,2021-06-30,9549132.06
2021-10-28,2021-09-30,16081542.87
2022-04-22,2021-12-31,3369617.43
2022-04-22,2022-03-31,4302939.35
2022-08-26,2022-06-30,5153679.35
2022-10-27,2022-09-30,3272840.52
2023-04-22,2022-12-31,5775627.78
2023-04-22,2023-03-31,793603.2
2023-08-25,2023-06-30,9209884.41
2023-10-27,2023-09-30,20111280.85
2024-04-25,2023-12-31,3031131.88
2024-04-25,2024-03-31,4426484.25
2024-08-28,2024-06-30,9887353.78
2024-10-30,2024-09-30,3486984.64
2025-04-25,2024-12-31,1456852.22
2025-04-25,2025-03-31,2275609.78
2025-08-27,2025-06-30,2718956.82
2025-10-29,2025-09-30,10903723.76
