date,period,value
2020-04-25,2020-03-31,-939634.12
2020-08-22,2020-06-30,122078.38
2020-10-31,2020-09-30,-920345.42
2021-04-10,2020-12-31,-882940.03
2021-04-20,2021-03-31,-855368.77
2021-08-21,2021-06-30,-897317.3
2021-10-27,2021-09-30,-906857.79
2022-04-23,2021-12-31,2229845.44
2022-04-23,2022-03-31,2882195.8
2022-08-09,2022-06-30,2916845.84
2022-10-27,2022-09-30,-1363276.43
2023-04-15,2022-12-31,-64801.18
2023-04-15,2023-03-31,-109628.3
2023-07-22,2023-06-30,-474497.46
2023-10-25,2023-09-30,-1630468.21
2024-04-26,2023-12-31,355701.26
2024-04-26,2024-03-31,-967007.72
2024-08-16,2024-06-30,-386023.7
2024-10-18,2024-09-30,495404.21
2025-04-19,2024-12-31,-2418530.75
2025-04-19,2025-03-31,-2320721.76
2025-08-23,2025-06-30,-2210618.1
2025-10-30,2025-09-30,-2020767.45
