date,period,value
2020-04-28,2020-03-31,4331417244.07
2020-08-28,2020-06-30,4539390575.52
2020-10-31,2020-09-30,4763787346.78
2021-04-09,2020-12-31,4947000499.72
2021-04-30,2021-03-31,5159742075.67
2021-08-31,2021-06-30,5132835140.98
2021-10-29,2021-09-30,5346402523.67
2022-03-22,2021-12-31,5841117492.03
2022-04-29,2022-03-31,6241563124.34
2022-08-26,2022-06-30,6201579777.32
2022-10-18,2022-09-30,6638598386.52
2023-04-27,2022-12-31,7035497402.61
2023-04-27,2023-03-31,7254143483.95
2023-08-31,2023-06-30,6827201607.97
2023-10-31,2023-09-30,6930536986.25
2024-04-16,2023-12-31,7141467218.6
2024-04-30,2024-03-31,7248786624.62
2024-08-30,2024-06-30,7287923651.12
2024-10-31,2024-09-30,7464602582.73
2025-04-18,2024-12-31,7601049070.38
2025-04-30,2025-03-31,7853368813.06
2025-08-29,2025-06-30,7513159014.38
2025-10-31,2025-09-30,7569583100.57
