date,period,value
2020-04-30,2020-03-31,52893166.43
2020-08-28,2020-06-30,55153179.77
2020-10-29,2020-09-30,53492975.23
2021-03-30,2020-12-31,98947059.25
2021-04-20,2021-03-31,101372675.78
2021-07-27,2021-06-30,95863215.79
2021-10-29,2021-09-30,104365253.82
2022-03-15,2021-12-31,180245522.94
2022-04-20,2022-03-31,184016299.68
2022-07-27,2022-06-30,172174858.73
2022-10-26,2022-09-30,168360242.93
2023-03-28,2022-12-31,244542124.61
2023-04-22,2023-03-31,247119485.63
2023-07-26,2023-06-30,246134036.77
2023-10-24,2023-09-30,242092704.47
2024-03-28,2023-12-31,255872409.78
2024-04-26,2024-03-31,255949916.18
2024-07-26,2024-06-30,249355211.99
2024-10-26,2024-09-30,251821400.4
2025-03-18,2024-12-31,222186749.21
2025-04-26,2025-03-31,195684716.77
2025-08-14,2025-06-30,187085782.32
2025-10-23,2025-09-30,187590517.45
2026-03-24,2025-12-31,180645019.96
