date,period,value
2020-04-30,2020-03-31,2796271.09
2020-08-28,2020-06-30,4994436.04
2020-10-29,2020-09-30,-8508042.88
2021-03-30,2020-12-31,20200877.15
2021-04-20,2021-03-31,-15098439.51
2021-07-27,2021-06-30,-23436767.27
2021-10-29,2021-09-30,-30078848.75
2022-03-15,2021-12-31,-54810400.78
2022-04-20,2022-03-31,-18537842.93
2022-07-27,2022-06-30,-3328916.09
2022-10-26,2022-09-30,15250110.14
2023-03-28,2022-12-31,41088076.94
2023-04-22,2023-03-31,5507470.66
2023-07-26,2023-06-30,53331073.03
2023-10-24,2023-09-30,11387173.6
2024-03-28,2023-12-31,49355682.0
2024-04-26,2024-03-31,-20108408.67
2024-07-26,2024-06-30,-25768847.36
2024-10-26,2024-09-30,-15631434.13
2025-03-18,2024-12-31,-25927560.49
2025-04-26,2025-03-31,9043671.15
2025-08-14,2025-06-30,31161582.65
2025-10-23,2025-09-30,44638099.5
2026-03-24,2025-12-31,9183908.5
