date,period,value
2020-04-28,2020-03-31,157345870.75
2020-08-26,2020-06-30,515729469.85
2020-10-28,2020-09-30,1047046333.99
2021-04-08,2020-12-31,1495969217.24
2021-04-28,2021-03-31,349904591.19
2021-08-26,2021-06-30,820652001.34
2021-10-28,2021-09-30,1373223436.41
2022-03-31,2021-12-31,1812878651.37
2022-04-27,2022-03-31,401892660.83
2022-08-17,2022-06-30,904261180.34
2022-10-29,2022-09-30,1499638185.64
2023-03-31,2022-12-31,2117255683.31
2023-04-28,2023-03-31,406964645.2
2023-08-24,2023-06-30,967301734.36
2023-10-26,2023-09-30,1657150331.59
2024-03-30,2023-12-31,2425394367.14
2024-04-26,2024-03-31,331400004.8
2024-08-22,2024-06-30,930254197.03
2024-10-26,2024-09-30,1577978094.31
2025-03-28,2024-12-31,2310770382.5
2025-04-26,2025-03-31,392340157.04
2025-08-26,2025-06-30,1022545125.34
2025-10-25,2025-09-30,1694034532.78
2026-03-31,2025-12-31,2406863327.55
