date,period,value
2021-04-28,2021-03-31,1148282.77
2021-08-28,2021-06-30,608854.8
2021-10-30,2021-09-30,563605.15
2022-04-15,2021-12-31,1536107.89
2022-04-28,2022-03-31,3752730.41
2022-08-27,2022-06-30,3265214.42
2022-10-29,2022-09-30,2857615.35
2023-04-28,2022-12-31,2349347.56
2023-04-28,2023-03-31,2817148.29
2023-08-30,2023-06-30,4688902.84
2023-10-28,2023-09-30,5758022.76
2024-04-27,2023-12-31,4912571.51
2024-04-27,2024-03-31,4744892.91
2024-08-28,2024-06-30,4508982.79
2024-10-30,2024-09-30,4375745.5
2025-04-26,2024-12-31,4223259.8
2025-04-26,2025-03-31,3492442.78
2025-08-28,2025-06-30,2729734.07
2025-10-30,2025-09-30,3586361.07
