date,period,value
2020-04-30,2020-03-31,14907992.0
2020-08-22,2020-06-30,9887031.0
2020-10-30,2020-09-30,-20579723.0
2021-04-20,2020-12-31,-9633479.0
2021-04-23,2021-03-31,4519045.0
2021-08-26,2021-06-30,-5566914.0
2021-10-30,2021-09-30,-17997555.0
2022-04-23,2021-12-31,30702626.0
2022-04-29,2022-03-31,-18496291.0
2022-08-27,2022-06-30,380641.0
2022-10-29,2022-09-30,48801815.0
2023-04-27,2022-12-31,20805607.0
2023-04-27,2023-03-31,-22547995.0
2023-08-26,2023-06-30,46804036.0
2023-10-31,2023-09-30,-1043013.0
2024-04-30,2023-12-31,26642217.0
2024-04-30,2024-03-31,-10521963.0
2024-08-21,2024-06-30,-23414135.0
2024-10-31,2024-09-30,-19302143.0
2025-04-29,2024-12-31,-47052955.0
2025-04-29,2025-03-31,-76454230.0
2025-08-30,2025-06-30,-14214156.0
2025-10-31,2025-09-30,-67758560.0
