date,period,value
2020-04-28,2020-03-31,1241431459.05
2020-08-26,2020-06-30,1113529651.51
2020-10-30,2020-09-30,1067221555.42
2021-04-21,2020-12-31,1158039463.79
2021-04-28,2021-03-31,924935682.14
2021-08-26,2021-06-30,1459565653.78
2021-10-28,2021-09-30,1370433457.97
2022-04-22,2021-12-31,1252606071.28
2022-04-28,2022-03-31,1154915836.28
2022-08-10,2022-06-30,1308339138.92
2022-10-27,2022-09-30,1608065254.57
2023-04-12,2022-12-31,2175369245.41
2023-04-28,2023-03-31,1818326944.46
2023-08-25,2023-06-30,1612100990.01
2023-10-26,2023-09-30,1241542922.74
2024-04-26,2023-12-31,1519914627.88
2024-04-26,2024-03-31,1516358244.34
2024-08-28,2024-06-30,1290159161.24
2024-10-29,2024-09-30,980677431.13
2025-04-25,2024-12-31,1027526250.87
2025-04-25,2025-03-31,935952349.77
2025-08-28,2025-06-30,867794424.55
2025-10-28,2025-09-30,720514381.01
