date,period,value
2020-04-25,2020-03-31,165689000.0
2020-08-27,2020-06-30,485223000.0
2020-10-31,2020-09-30,926649000.0
2021-03-31,2020-12-31,2244375000.0
2021-04-28,2021-03-31,-85528000.0
2021-08-28,2021-06-30,-904434000.0
2021-10-29,2021-09-30,-1112498000.0
2022-03-30,2021-12-31,150870000.0
2022-04-30,2022-03-31,102412000.0
2022-08-16,2022-06-30,1029484000.0
2022-10-26,2022-09-30,3735825000.0
2023-03-28,2022-12-31,4682119000.0
2023-04-28,2023-03-31,-406350000.0
2023-08-29,2023-06-30,-688885000.0
2023-10-31,2023-09-30,-3118946000.0
2024-03-30,2023-12-31,-593745000.0
2024-04-27,2024-03-31,-50595000.0
2024-08-28,2024-06-30,273832000.0
2024-10-30,2024-09-30,428721000.0
2025-03-29,2024-12-31,-4232431000.0
2025-04-22,2025-03-31,805544000.0
2025-08-16,2025-06-30,2944435000.0
2025-10-29,2025-09-30,1785477000.0
