date,period,value
2020-04-28,2020-03-31,121601258.48
2020-08-25,2020-06-30,131234988.36
2020-10-27,2020-09-30,115051101.6
2021-04-30,2020-12-31,105346496.48
2021-04-30,2021-03-31,117994768.21
2021-08-24,2021-06-30,125852106.99
2021-10-26,2021-09-30,125084566.32
2022-03-29,2021-12-31,126724762.05
2022-04-22,2022-03-31,124538633.33
2022-08-10,2022-06-30,135320133.33
2022-10-29,2022-09-30,162277342.22
2023-03-28,2022-12-31,174160064.58
2023-04-29,2023-03-31,169334537.56
2023-08-29,2023-06-30,154573931.22
2023-10-31,2023-09-30,143753404.94
2024-04-30,2023-12-31,141053942.61
2024-04-30,2024-03-31,161447416.19
2024-08-27,2024-06-30,163314489.66
2024-10-31,2024-09-30,150014521.53
2025-03-29,2024-12-31,139705038.17
2025-04-30,2025-03-31,137601167.43
2025-08-28,2025-06-30,131798890.17
2025-10-31,2025-09-30,133224643.17
2026-03-31,2025-12-31,117216370.95
