date,period,value
2020-04-28,2020-03-31,336511439.63
2020-10-27,2020-09-30,499742169.71
2021-04-30,2021-03-31,101740669.86
2021-08-24,2021-06-30,702376758.97
2021-10-26,2021-09-30,1350677043.08
2022-03-29,2021-12-31,1027345560.37
2022-04-22,2022-03-31,863334364.28
2022-08-10,2022-06-30,523869071.42
2022-10-29,2022-09-30,88930952.65
2023-03-28,2022-12-31,1187768668.68
2023-04-29,2023-03-31,548396807.67
2023-08-29,2023-06-30,558947719.73
2024-04-30,2023-12-31,161559924.14
2024-04-30,2024-03-31,581607920.96
2024-08-27,2024-06-30,935287129.69
2025-03-29,2024-12-31,0.0
