date,period,value
2020-04-28,2020-03-31,181339000.0
2020-08-28,2020-06-30,181339000.0
2020-10-30,2020-09-30,184539000.0
2021-04-28,2020-12-31,184539000.0
2021-04-28,2021-03-31,184539000.0
2021-08-27,2021-06-30,184539000.0
2021-10-29,2021-09-30,184563200.0
2022-04-28,2021-12-31,184729300.0
2022-04-28,2022-03-31,184748800.0
2022-08-16,2022-06-30,239429451.0
2022-10-28,2022-09-30,239645701.0
2023-04-26,2022-12-31,239667151.0
2023-04-26,2023-03-31,261151004.0
2023-08-31,2023-06-30,261183664.0
2023-10-31,2023-09-30,261497744.0
2024-04-25,2023-12-31,261641484.0
2024-04-25,2024-03-31,261690424.0
2024-08-29,2024-06-30,261702144.0
2024-10-29,2024-09-30,261801844.0
2025-04-28,2024-12-31,261801844.0
2025-04-28,2025-03-31,261801844.0
2025-08-28,2025-06-30,261801844.0
2025-10-28,2025-09-30,262628400.0
2026-03-31,2025-12-31,261755700.0
