date,period,value
2022-04-25,2022-03-31,80000000.0
2022-08-29,2022-06-30,80500000.0
2022-10-25,2022-09-30,80500000.0
2023-04-26,2022-12-31,200500000.0
2023-04-26,2023-03-31,0.0
2023-08-25,2023-06-30,60000000.0
2023-10-25,2023-09-30,60000000.0
2024-04-26,2023-12-31,75607108.2
2024-04-26,2024-03-31,103028968.12
2024-08-26,2024-06-30,137529639.77
2024-10-25,2024-09-30,166600123.66
2025-04-25,2024-12-31,219808553.93
2025-04-25,2025-03-31,157832215.84
2025-08-26,2025-06-30,274726063.89
2025-10-30,2025-09-30,383677727.87
