date,period,value
2020-04-24,2020-03-31,4865726.33
2020-08-17,2020-06-30,12010836.16
2020-10-31,2020-09-30,13291069.03
2021-04-23,2020-12-31,14179181.14
2021-04-23,2021-03-31,16596963.46
2021-08-27,2021-06-30,22104435.16
2021-10-25,2021-09-30,25059724.55
2022-04-25,2021-12-31,17596750.28
2022-04-25,2022-03-31,18210573.4
2022-08-29,2022-06-30,22791884.28
2022-10-25,2022-09-30,20527322.04
2023-04-26,2022-12-31,22200638.64
2023-04-26,2023-03-31,62359610.7
2023-08-25,2023-06-30,20607824.54
2023-10-25,2023-09-30,23189836.74
2024-04-26,2023-12-31,19939258.25
2024-04-26,2024-03-31,25646880.92
2024-08-26,2024-06-30,22317034.56
2024-10-25,2024-09-30,27184070.81
2025-04-25,2024-12-31,10835736.88
2025-04-25,2025-03-31,15471984.36
2025-08-26,2025-06-30,20609286.76
2025-10-30,2025-09-30,34009890.9
