date,period,value
2020-04-24,2020-03-31,319875665.39
2020-07-18,2020-06-30,319875665.39
2020-10-22,2020-09-30,319875665.39
2021-02-10,2020-12-31,319875665.39
2021-04-16,2021-03-31,509363126.29
2021-08-27,2021-06-30,509363126.29
2021-10-25,2021-09-30,509363126.29
2022-04-16,2021-12-31,509363126.29
2022-04-16,2022-03-31,1202500595.37
2022-07-30,2022-06-30,1202500595.37
2022-10-29,2022-09-30,1202500595.37
2023-03-31,2022-12-31,1202500595.37
2023-04-21,2023-03-31,1489501514.13
2023-08-15,2023-06-30,1489501514.13
2023-10-24,2023-09-30,1489501514.13
2024-03-29,2023-12-31,1489501514.13
2024-04-30,2024-03-31,2045240990.71
2024-08-29,2024-06-30,2045240990.71
2024-10-28,2024-09-30,2521737685.3
2025-04-10,2024-12-31,2045240990.71
2025-04-18,2025-03-31,1869075999.26
2025-08-27,2025-06-30,1869075999.26
2025-10-30,2025-09-30,1869075999.26
2026-04-10,2025-12-31,1869075999.26
