date,period,value
2020-04-25,2020-03-31,12033908.38
2020-08-29,2020-06-30,28715259.21
2020-10-23,2020-09-30,43772090.5
2021-04-27,2020-12-31,62803793.93
2021-04-27,2021-03-31,16918308.76
2021-08-26,2021-06-30,38000499.49
2021-10-26,2021-09-30,61820961.86
2022-03-30,2021-12-31,91762949.12
2022-04-16,2022-03-31,28017959.16
2022-08-24,2022-06-30,54525355.49
2022-10-28,2022-09-30,93883198.3
2023-04-29,2022-12-31,125287050.48
2023-04-29,2023-03-31,25771956.77
2023-08-31,2023-06-30,56310955.05
2023-10-27,2023-09-30,86239506.18
2024-03-30,2023-12-31,125518339.26
2024-04-30,2024-03-31,27562023.13
2024-08-29,2024-06-30,56274543.37
2024-10-31,2024-09-30,90572845.99
2025-04-24,2024-12-31,139388279.07
2025-04-30,2025-03-31,35426947.63
2025-08-22,2025-06-30,79024266.31
2025-10-29,2025-09-30,113460049.02
