date,period,value
2020-04-27,2020-03-31,1748883000.0
2020-08-31,2020-06-30,7404646000.0
2020-10-30,2020-09-30,5768620000.0
2021-03-31,2020-12-31,5322103000.0
2022-04-29,2022-03-31,3297957000.0
2022-08-31,2022-06-30,2450470000.0
2022-10-31,2022-09-30,4522616000.0
2023-03-31,2022-12-31,6798131000.0
2023-04-28,2023-03-31,302995000.0
2024-08-30,2024-06-30,539122000.0
2024-10-31,2024-09-30,4849567000.0
2025-04-30,2025-03-31,12668841000.0
2025-08-29,2025-06-30,9179873000.0
2025-10-31,2025-09-30,18512754000.0
2026-03-31,2025-12-31,11693754000.0
