date,period,value
2020-04-25,2020-03-31,2522316000.0
2020-08-29,2020-06-30,3161227000.0
2020-10-31,2020-09-30,3410905000.0
2021-03-31,2020-12-31,4204537000.0
2021-04-30,2021-03-31,6174097000.0
2021-08-31,2021-06-30,6153635000.0
2021-10-30,2021-09-30,3986085000.0
2022-03-26,2021-12-31,4146140000.0
2022-04-30,2022-03-31,4683618000.0
2022-08-27,2022-06-30,4969990000.0
2022-10-29,2022-09-30,5418126000.0
2023-04-01,2022-12-31,5214786000.0
2023-04-29,2023-03-31,7183893000.0
2023-08-31,2023-06-30,5330751000.0
2023-10-27,2023-09-30,6188007000.0
2024-03-29,2023-12-31,4487489000.0
2024-04-30,2024-03-31,6286895000.0
2024-08-29,2024-06-30,7210478000.0
2024-10-29,2024-09-30,7450335000.0
2025-03-27,2024-12-31,6552998000.0
2025-04-29,2025-03-31,6715086000.0
2025-08-29,2025-06-30,13549778000.0
2025-10-29,2025-09-30,13164284000.0
2026-03-27,2025-12-31,11734471000.0
