date,period,value
2020-04-24,2020-03-31,24641885.84
2020-08-21,2020-06-30,62824170.34
2020-10-29,2020-09-30,72682138.58
2021-04-16,2020-12-31,89081531.39
2021-04-30,2021-03-31,34578851.77
2021-08-28,2021-06-30,141621625.7
2021-10-28,2021-09-30,173149867.35
2022-04-22,2021-12-31,282349608.36
2022-04-28,2022-03-31,109974315.89
2022-08-25,2022-06-30,164522795.22
2022-10-31,2022-09-30,289740399.69
2023-04-25,2022-12-31,373077677.19
2023-04-28,2023-03-31,85255457.2
2023-08-22,2023-06-30,151677856.28
2023-10-27,2023-09-30,191300441.36
2024-04-25,2023-12-31,239837145.69
2024-04-30,2024-03-31,55440661.98
2024-08-30,2024-06-30,75035862.74
2024-10-30,2024-09-30,154002813.87
2025-04-23,2024-12-31,212290313.94
2025-04-29,2025-03-31,27447874.9
2025-08-27,2025-06-30,59480163.1
2025-10-30,2025-09-30,116129429.84
