date,period,value
2020-08-17,2020-06-30,978265.0
2020-10-28,2020-09-30,978265.0
2021-03-16,2020-12-31,978265.0
2021-08-27,2021-06-30,3000000.0
2021-10-27,2021-09-30,4437200.0
2022-03-31,2021-12-31,5090808.0
2022-04-29,2022-03-31,3000000.0
2022-08-26,2022-06-30,18000000.0
2022-10-18,2022-09-30,18000000.0
2023-03-30,2022-12-31,18153608.0
2024-04-27,2024-03-31,153608.0
2024-08-27,2024-06-30,307214.16
2024-10-24,2024-09-30,307214.16
2025-03-29,2024-12-31,9789505.16
2025-08-29,2025-06-30,31313126.0
2025-10-30,2025-09-30,31313126.0
