date,period,value
2020-04-29,2020-03-31,22839875.67
2020-08-25,2020-06-30,55631789.15
2020-10-30,2020-09-30,95365107.75
2021-03-31,2020-12-31,180155592.79
2021-04-28,2021-03-31,41084903.84
2021-08-28,2021-06-30,78414322.11
2021-10-29,2021-09-30,115803855.49
2022-03-31,2021-12-31,203358017.57
2022-04-29,2022-03-31,51569849.88
2022-08-30,2022-06-30,113078125.07
2022-10-25,2022-09-30,176091216.83
2023-03-31,2022-12-31,236685128.35
2023-04-28,2023-03-31,49975155.97
2023-08-30,2023-06-30,101189145.8
2023-10-26,2023-09-30,154067656.58
2024-03-29,2023-12-31,215586573.83
2024-04-26,2024-03-31,44359218.24
2024-08-30,2024-06-30,93690072.63
2024-10-25,2024-09-30,154099892.09
2025-04-28,2024-12-31,228544840.55
2025-04-28,2025-03-31,47479993.23
2025-08-28,2025-06-30,92911178.5
2025-10-29,2025-09-30,132729098.86
