date,period,value
2020-04-20,2020-03-31,905583495.66
2020-08-06,2020-06-30,917785937.33
2020-10-29,2020-09-30,925645737.44
2021-04-23,2020-12-31,943346522.55
2021-04-23,2021-03-31,1223575294.44
2021-08-13,2021-06-30,1229678665.98
2021-10-27,2021-09-30,1235318571.72
2022-04-27,2021-12-31,1259728086.93
2022-04-27,2022-03-31,1262860422.48
2022-08-23,2022-06-30,1265992758.03
2022-10-26,2022-09-30,1269125093.58
2023-04-27,2022-12-31,1253158695.89
2023-04-27,2023-03-31,1253495471.86
2023-08-26,2023-06-30,1249945393.04
2023-10-27,2023-09-30,960993312.1
2024-04-23,2023-12-31,944396106.05
2024-04-23,2024-03-31,944540928.26
2024-08-29,2024-06-30,944540928.26
2024-10-28,2024-09-30,945557629.47
2025-04-24,2024-12-31,930482530.35
2025-04-24,2025-03-31,1182415857.38
2025-08-26,2025-06-30,1182232489.55
2025-10-24,2025-09-30,1182232489.55
2026-03-20,2025-12-31,1191944193.25
