date,period,value
2020-04-29,2020-03-31,29279466.08
2020-08-28,2020-06-30,50569656.08
2020-10-30,2020-09-30,74077797.67
2021-04-28,2020-12-31,104671398.21
2021-04-28,2021-03-31,41034633.18
2021-08-25,2021-06-30,79882807.58
2021-10-28,2021-09-30,121193089.21
2022-04-28,2021-12-31,178736030.62
2022-04-28,2022-03-31,84980230.59
2022-08-30,2022-06-30,159337994.64
2022-10-28,2022-09-30,260500274.18
2023-04-25,2022-12-31,382681744.02
2023-04-25,2023-03-31,141019644.28
2023-08-30,2023-06-30,252411279.47
2023-10-27,2023-09-30,372531236.14
2024-04-27,2023-12-31,489572549.5
2024-04-27,2024-03-31,164219015.12
2024-08-30,2024-06-30,287744022.73
2024-10-29,2024-09-30,415968669.7
2025-04-24,2024-12-31,544973991.99
2025-04-24,2025-03-31,187102785.03
2025-08-29,2025-06-30,323939743.93
2025-10-30,2025-09-30,470387119.46
