date,period,value
2021-10-27,2021-09-30,6954322.27
2022-03-25,2021-12-31,6092766.95
2022-04-29,2022-03-31,11676757.22
2022-08-09,2022-06-30,6015826.17
2022-10-26,2022-09-30,5503021.71
2023-03-31,2022-12-31,2760302.66
2023-04-28,2023-03-31,3581534.13
2023-08-15,2023-06-30,3670977.66
2023-10-26,2023-09-30,2193585.36
2024-04-15,2023-12-31,7655948.52
2024-04-29,2024-03-31,10822653.78
2024-08-22,2024-06-30,7273941.71
2024-10-28,2024-09-30,6603503.08
2025-04-23,2024-12-31,4617799.45
2025-04-29,2025-03-31,3581967.03
2025-08-26,2025-06-30,11139881.08
2025-10-28,2025-09-30,9705431.24
