date,period,value
2020-04-29,2020-03-31,50173200.0
2020-08-27,2020-06-30,50173200.0
2020-10-29,2020-09-30,193173200.0
2021-04-27,2020-12-31,50173200.0
2021-08-23,2021-06-30,16670469.24
2021-10-25,2021-09-30,16670469.24
2022-04-29,2021-12-31,16670469.24
2022-04-29,2022-03-31,90360326.6
2022-08-30,2022-06-30,90360326.6
2022-10-24,2022-09-30,90360326.6
2023-04-22,2022-12-31,90296836.12
2023-04-22,2023-03-31,20510000.0
2023-08-05,2023-06-30,20510000.0
2023-10-25,2023-09-30,67029812.0
2024-04-24,2023-12-31,97678322.0
2024-08-27,2024-06-30,7855103.99
2024-10-30,2024-09-30,7855103.99
2025-04-26,2024-12-31,355557385.89
2025-04-26,2025-03-31,51351045.41
2025-08-15,2025-06-30,51351045.41
2025-10-30,2025-09-30,56720646.24
