date,period,value
2020-04-29,2020-03-31,110791149.77
2020-08-27,2020-06-30,90975572.21
2020-10-29,2020-09-30,119669888.11
2021-04-27,2020-12-31,98226752.35
2021-04-27,2021-03-31,86007246.52
2021-08-23,2021-06-30,75870323.47
2021-10-25,2021-09-30,82711104.48
2022-04-29,2021-12-31,73166515.89
2022-04-29,2022-03-31,140739005.01
2022-08-30,2022-06-30,68222124.08
2022-10-24,2022-09-30,76738599.61
2023-04-22,2022-12-31,72659339.57
2023-04-22,2023-03-31,25950796.18
2023-08-05,2023-06-30,34108756.09
2023-10-25,2023-09-30,38416472.57
2024-04-24,2023-12-31,25466196.1
2024-04-24,2024-03-31,55286454.89
2024-08-27,2024-06-30,87221196.76
2024-10-30,2024-09-30,56061121.76
2025-04-26,2024-12-31,72053268.02
2025-04-26,2025-03-31,76795162.47
2025-08-15,2025-06-30,62234620.92
2025-10-30,2025-09-30,55462486.1
