date,period,value
2020-04-29,2020-03-31,21000000.0
2020-08-27,2020-06-30,21000000.0
2020-10-28,2020-09-30,21000000.0
2021-04-27,2020-12-31,224776563.0
2021-08-27,2021-06-30,234000000.0
2021-10-29,2021-09-30,463737391.46
2022-04-22,2021-12-31,960390000.0
2022-04-29,2022-03-31,190000000.0
2022-08-26,2022-06-30,424000000.0
2022-10-26,2022-09-30,803330000.0
2023-04-20,2022-12-31,1468130000.0
2023-04-26,2023-03-31,180999999.0
2023-08-25,2023-06-30,210999999.0
2023-10-27,2023-09-30,577134049.34
2024-04-12,2023-12-31,1639259280.75
2024-04-24,2024-03-31,182890825.59
2024-08-29,2024-06-30,212890825.59
2024-10-31,2024-09-30,247890825.59
2025-04-23,2024-12-31,1090313712.31
2025-04-28,2025-03-31,1700000.0
2025-08-25,2025-06-30,11000000.0
2025-10-23,2025-09-30,111030000.0
