date,period,value
2020-04-28,2020-03-31,1560573771.77
2020-08-28,2020-06-30,1797078419.61
2020-10-30,2020-09-30,1638620548.59
2021-04-21,2020-12-31,1691890770.09
2021-04-29,2021-03-31,1490523157.1
2021-08-28,2021-06-30,1621862324.53
2021-10-29,2021-09-30,1565126234.72
2022-04-15,2021-12-31,1670334508.05
2022-04-29,2022-03-31,1597409824.32
2022-08-30,2022-06-30,1640018614.35
2022-10-28,2022-09-30,1661980648.96
2023-04-15,2022-12-31,1664786351.08
2023-04-28,2023-03-31,1587353017.69
2023-08-30,2023-06-30,1597720132.75
2023-10-30,2023-09-30,1602280733.93
2024-04-13,2023-12-31,1598353978.53
2024-04-29,2024-03-31,1576901468.02
2024-08-30,2024-06-30,1523005026.3
2024-10-30,2024-09-30,1514135672.91
2025-04-19,2024-12-31,1504097049.82
2025-04-29,2025-03-31,1547898230.37
2025-08-19,2025-06-30,1642730285.11
2025-10-29,2025-09-30,1571144892.83
