date,period,value
2020-04-28,2020-03-31,4378383967.12
2020-08-28,2020-06-30,4390367430.98
2020-10-30,2020-09-30,4321382326.63
2021-04-21,2020-12-31,3335395501.48
2021-04-29,2021-03-31,3280572595.29
2021-08-28,2021-06-30,3299455646.93
2021-10-29,2021-09-30,3342149103.56
2022-04-15,2021-12-31,3360247224.02
2022-04-29,2022-03-31,3284549094.83
2022-08-30,2022-06-30,3304223054.25
2022-10-28,2022-09-30,3289736497.15
2023-04-15,2022-12-31,3111789862.71
2023-04-28,2023-03-31,3092982638.9
2023-08-30,2023-06-30,3071276489.0
2023-10-30,2023-09-30,3055239329.63
2024-04-13,2023-12-31,2856992011.32
2024-04-29,2024-03-31,2868734044.32
2024-08-30,2024-06-30,2858610297.92
2024-10-30,2024-09-30,2828992341.23
2025-04-19,2024-12-31,2640960520.89
2025-04-29,2025-03-31,2648007010.73
2025-08-19,2025-06-30,2677336365.45
2025-10-29,2025-09-30,2715687672.35
