date,period,value
2020-04-29,2020-03-31,6749842929.61
2020-08-28,2020-06-30,6468174825.7
2020-10-29,2020-09-30,6204089762.9
2021-04-26,2020-12-31,6213657909.84
2021-04-26,2021-03-31,6159193297.05
2021-08-26,2021-06-30,6142510433.03
2021-10-27,2021-09-30,6183589707.54
2022-04-27,2021-12-31,6073798005.41
2022-04-27,2022-03-31,7470534242.47
2022-08-23,2022-06-30,7371488822.32
2022-10-28,2022-09-30,7315573114.01
2023-04-21,2022-12-31,7015252724.25
2023-04-21,2023-03-31,6465123527.82
2023-08-19,2023-06-30,6403972102.9
2023-10-23,2023-09-30,6397652670.71
2024-03-26,2023-12-31,6607607762.93
2024-04-22,2024-03-31,6703385812.89
2024-08-23,2024-06-30,6527132318.54
2024-10-12,2024-09-30,6448226757.07
2025-03-28,2024-12-31,6709342369.2
2025-04-11,2025-03-31,6663560906.95
2025-08-22,2025-06-30,6526569088.44
2025-10-23,2025-09-30,6448621771.61
2026-03-28,2025-12-31,6414330752.95
