date,period,value
2020-04-27,2020-03-31,303721.23
2020-07-31,2020-06-30,1434255.31
2020-10-30,2020-09-30,3657546.61
2021-04-13,2020-12-31,23109873.11
2021-04-27,2021-03-31,12058087.82
2021-07-28,2021-06-30,21156824.55
2021-10-27,2021-09-30,56048750.08
2022-04-20,2021-12-31,22518874.94
2022-04-20,2022-03-31,-11914862.38
2022-08-30,2022-06-30,-8381261.84
2022-10-25,2022-09-30,-9194281.49
2023-04-26,2022-12-31,-2011038.87
2023-04-26,2023-03-31,-1614235.47
2023-08-09,2023-06-30,-2983667.91
2023-10-23,2023-09-30,-3423622.57
2024-04-19,2023-12-31,-4127883.19
2024-04-19,2024-03-31,1029800.79
2024-07-30,2024-06-30,1385477.59
2024-10-28,2024-09-30,3395574.95
2025-04-25,2024-12-31,12396729.67
2025-04-25,2025-03-31,11391677.22
2025-08-20,2025-06-30,25699889.43
2025-10-28,2025-09-30,22616604.0
