date,period,value
2020-08-28,2020-06-30,364000000.0
2020-10-29,2020-09-30,414000000.0
2021-04-28,2020-12-31,1458000000.0
2021-04-28,2021-03-31,290000000.0
2021-08-21,2021-06-30,369869498.86
2021-10-23,2021-09-30,526199108.49
2022-04-23,2021-12-31,2494279649.42
2022-04-23,2022-03-31,780464540.14
2022-08-10,2022-06-30,1173615526.46
2022-10-27,2022-09-30,1252453859.79
2023-04-24,2022-12-31,1979881240.43
2023-04-24,2023-03-31,335989877.68
2023-08-15,2023-06-30,950465987.63
2023-10-27,2023-09-30,1003646151.48
2024-04-18,2023-12-31,1993861365.3
2024-04-26,2024-03-31,545274115.79
2024-08-15,2024-06-30,1479950585.18
2024-10-25,2024-09-30,1933445273.61
2025-03-31,2024-12-31,3246494778.5
2025-04-25,2025-03-31,366267423.25
2025-08-18,2025-06-30,1253295453.79
2025-10-25,2025-09-30,1507370445.53
2026-04-11,2025-12-31,2088331907.52
