date,period,value
2020-04-29,2020-03-31,6786008074.38
2020-08-18,2020-06-30,6354532076.38
2020-10-27,2020-09-30,6583669642.94
2021-04-17,2020-12-31,4783366949.5
2021-04-17,2021-03-31,4994138749.89
2021-07-31,2021-06-30,5008564955.82
2021-10-16,2021-09-30,4982763847.63
2022-03-29,2021-12-31,5196480015.86
2022-04-26,2022-03-31,5257844060.66
2022-08-18,2022-06-30,5311596570.35
2022-10-24,2022-09-30,5514232686.96
2023-04-26,2022-12-31,5350588929.43
2023-04-26,2023-03-31,5248527809.68
2023-08-19,2023-06-30,5510564276.43
2023-10-26,2023-09-30,5681263297.21
2024-04-20,2023-12-31,5552714102.4
2024-04-20,2024-03-31,5790923772.84
2024-08-16,2024-06-30,5885897797.33
2024-10-19,2024-09-30,5956947931.22
2025-04-19,2024-12-31,5883310779.37
2025-04-19,2025-03-31,6077052380.1
2025-08-07,2025-06-30,6397847524.52
2025-10-25,2025-09-30,6730116395.84
