date,period,value
2020-04-29,2020-03-31,120081819.84
2020-08-28,2020-06-30,87913191.62
2020-10-28,2020-09-30,97648116.8
2021-03-31,2020-12-31,104281671.31
2021-04-29,2021-03-31,89386913.9
2021-08-26,2021-06-30,91061466.68
2021-10-26,2021-09-30,55583904.13
2022-03-29,2021-12-31,57648968.23
2022-04-27,2022-03-31,54388255.18
2022-08-30,2022-06-30,46833561.4
2022-10-28,2022-09-30,21527037.05
2023-04-01,2022-12-31,25886122.6
2023-04-22,2023-03-31,19357288.43
2023-08-19,2023-06-30,18381094.36
2023-10-21,2023-09-30,19197084.36
2024-04-13,2023-12-31,33550729.01
2024-04-26,2024-03-31,26703761.94
2024-08-24,2024-06-30,12562286.97
2024-10-23,2024-09-30,12633282.43
2025-03-31,2024-12-31,36281377.81
2025-04-26,2025-03-31,33837384.11
2025-08-23,2025-06-30,24787961.06
2025-10-25,2025-09-30,29782885.9
