date,period,value
2021-10-27,2021-09-30,85036947.13
2022-04-27,2021-12-31,83349917.46
2022-04-27,2022-03-31,83045837.69
2022-08-26,2022-06-30,82176123.95
2022-10-26,2022-09-30,80799608.33
2023-04-21,2022-12-31,78400292.18
2023-04-21,2023-03-31,77614161.39
2023-08-25,2023-06-30,76456442.94
2023-10-26,2023-09-30,74598199.52
2024-04-19,2023-12-31,74213191.37
2024-04-19,2024-03-31,73723183.13
2024-08-23,2024-06-30,73107973.42
2024-10-24,2024-09-30,72769757.9
2025-04-19,2024-12-31,72512422.61
2025-04-19,2025-03-31,72307930.03
2025-08-22,2025-06-30,72082842.5
2025-10-24,2025-09-30,71829011.82
