date,period,value
2020-04-25,2020-03-31,98242819.54
2020-08-28,2020-06-30,97074352.5
2020-10-23,2020-09-30,95766314.35
2021-04-07,2020-12-31,100386478.05
2021-04-27,2021-03-31,96923994.57
2021-08-27,2021-06-30,96677423.37
2021-10-26,2021-09-30,97578929.46
2022-04-23,2021-12-31,110006054.08
2022-04-23,2022-03-31,120836662.05
2022-08-30,2022-06-30,434222997.74
2022-10-25,2022-09-30,433361901.12
2023-04-22,2022-12-31,468180677.26
2023-04-22,2023-03-31,486982668.06
2023-08-25,2023-06-30,480996956.1
2023-10-25,2023-09-30,467079536.36
2024-04-19,2023-12-31,454168714.63
2024-04-25,2024-03-31,440772860.29
2024-08-28,2024-06-30,433505773.03
2024-10-23,2024-09-30,422726895.24
2025-04-21,2024-12-31,419250589.32
2025-04-29,2025-03-31,409145022.92
2025-08-28,2025-06-30,404057714.75
2025-10-25,2025-09-30,397740814.23
