date,period,value
2020-04-25,2020-03-31,60498296.57
2020-08-28,2020-06-30,58930726.94
2020-10-23,2020-09-30,57617328.62
2021-04-07,2020-12-31,56187531.7
2021-04-27,2021-03-31,54606489.71
2021-08-27,2021-06-30,54672143.23
2021-10-26,2021-09-30,54515162.23
2022-04-23,2021-12-31,53876682.38
2022-04-23,2022-03-31,53209293.77
2022-08-30,2022-06-30,54253554.38
2022-10-25,2022-09-30,53603648.52
2023-04-22,2022-12-31,66514763.46
2023-04-22,2023-03-31,65802823.64
2023-08-25,2023-06-30,64676620.51
2023-10-25,2023-09-30,63692139.43
2024-04-19,2023-12-31,62799091.14
2024-04-25,2024-03-31,62236210.92
2024-08-28,2024-06-30,61190073.02
2024-10-23,2024-09-30,61499594.97
2025-04-21,2024-12-31,60852203.54
2025-04-29,2025-03-31,61140082.75
2025-08-28,2025-06-30,60249002.0
2025-10-25,2025-09-30,58221536.59
