date,period,value
2020-04-29,2020-03-31,584353.24
2020-08-28,2020-06-30,1035968.79
2020-10-28,2020-09-30,1344982.82
2021-04-27,2020-12-31,1372582.76
2021-04-27,2021-03-31,1971561.51
2021-08-10,2021-06-30,2255082.32
2021-10-29,2021-09-30,2343942.32
2022-04-22,2021-12-31,1815369.87
2022-04-22,2022-03-31,229609.01
2022-08-30,2022-06-30,5850158.13
2022-10-26,2022-09-30,6142588.24
2023-04-15,2022-12-31,6346936.26
2023-04-27,2023-03-31,711085.35
2023-08-30,2023-06-30,224186.28
2023-10-25,2023-09-30,283244.53
2024-04-19,2023-12-31,736713.87
2024-04-19,2024-03-31,259781.21
2024-08-23,2024-06-30,1212572.12
2024-10-29,2024-09-30,3068788.37
2025-04-23,2024-12-31,2044621.2
2025-04-23,2025-03-31,58413.09
2025-08-27,2025-06-30,283363.68
2025-10-29,2025-09-30,1043283.18
